News#,Title,Matched Words,Score,Polarity
1,"ADVANCED MAGNETICS &lt;ADMG> IN AGREEMENT","advanced(+)",1,Positive
2,"HEALTH RESEARCH FILES FOR BANKRUPTCY","none",0,Neutral
3,"NUMEREX CORP &lt;NMRX> 2ND QTR JAN 31 LOSS","loss(-)",-1,Negative
4,"U.S. SELLING 12.8 BILLION DLRS OF 3 AND 6-MO BILLS MARCH 30 TO PAY DOWN 1.2 BILLION DLRS","none",0,Neutral
5,"U.S. 2-YEAR NOTE AVERAGE YIELD 6.43 PCT, STOP 6.44 PCT, AWARDED AT HIGH YIELD 85 PCT","awarded(+)",1,Positive
6,"COMMODORE &lt;CBU>, ATARI IN SETTLEMENT","none",0,Neutral
7,"BALDRIGE SUPPORTS NIC TALKS ON CURRENCIES","supports(+)",1,Positive
8,"TRIANGLE &lt;TRI> BEGINS EXCHANGE OFFER","none",0,Neutral
9,"SOUTHMARK &lt;SM> UNIT IN PUBLIC OFFERING OF STOCK","none",0,Neutral
10,"EASTMAN KODAK CO TO SELL HOLDINGS IN ICN PHARMACEUTICALS AND VIRATEK INC","none",0,Neutral
11,"FEUD PERSISTS AT U.S. HOUSE BUDGET COMMITTTEE","none",0,Neutral
12,"TREASURY BALANCES AT FED ROSE ON MARCH 23","none",0,Neutral
13,"FARM CREDIT SYSTEM SEEN NEEDING 800 MLN DLRS AID","none",0,Neutral
14,"USX &lt;X> USS UNIT RAISES PRICES","none",0,Neutral
15,"UNIONIST URGES RETALIATION AGAINST JAPAN","none",0,Neutral
16,"EXXON (XON) GETS 99.2 MLN DLR CONTRACT","none",0,Neutral
17,"EATON (ETN) GETS 53.0 MLN DLR CONTRACT","none",0,Neutral
18,"ZAIRE AUTHORIZED TO BUY PL 480 RICE - USDA","none",0,Neutral
19,"MCDONNELL DOUGLAS GETS 30.6 MLN DLR CONTRACT","none",0,Neutral
20,"MIDIVEST ACQUIRES ASSETS OF BUSINESS AVIATION","none",0,Neutral
21,"U.S. WHEAT CREDITS FOR JORDAN SWITCHED","none",0,Neutral
22,"DOLLAR EXPECTED TO FALL DESPITE INTERVENTION","fall(-)",-1,Negative
23,"U.S. TO SELL 12.8 BILLION DLRS IN BILLS","none",0,Neutral
24,"INLAND STEEL &lt;IAD> TO BUILD NEW PLANT IN INDIANA","none",0,Neutral
25,"EASTMAN KODAK &lt;EK> TO SELL HOLDINGS","none",0,Neutral
26,"GUINNESS SUES BOESKY IN FEDERAL COURT","sues(-)",-1,Negative
27,"FIRM REDUCES SCEPTRE RESOURCES &lt;SRL> HOLDINGS","none",0,Neutral
28,"GENCORP BOARD WITHDRAWS PROPOSALS TO STAGGER DIRECTORS TERMS","none",0,Neutral
29,"&lt;ACKLANDS LTD> 1ST QTR FEB 28 NET","none",0,Neutral
30,"BULL AND BEAR GROUP A &lt;BNBGA> CUTS FUND PAYOUTS","none",0,Neutral
31,"CALTEX TO RAISE BAHRAIN OIL PRODUCT PRICES","none",0,Neutral
32,"CHARTER CO &lt;QCHR> TO COMPLETE REORGANIZATION","none",0,Neutral
33,"NASHUA &lt;NSH> TO PURCHASE PRIVATE DISC MAKER","none",0,Neutral
34,"ALTRON INC &lt;ALRN> 4TH QTR JAN 3","none",0,Neutral
35,"COLLINS FOODS &lt;CF> MOVES UP WARRANT CONVERSION","none",0,Neutral
36,"GENCORP &lt;GY> PROPOSALS WITHDRAWN FROM MEETING","none",0,Neutral
37,"WEEKLY ELECTRIC OUTPUT UP 2.4 PCT FROM 1986","none",0,Neutral
38,"MONOLITHIC &lt;MMIC> TO DROP GATE ARRAY LINE","none",0,Neutral
39,"API SAYS DISTILLATE STOCKS OFF 4.07 MLN BBLS, GASOLINE OFF 2.69 MLN, CRUDE UP 8.53 MLN","crude(-)",-1,Negative
40,"VERMONT FINANCIAL SERVICES &lt;VFSC> SETS PAYOUT","none",0,Neutral
41,"RESORTS INTERNATIONAL GETS BUYOUT PROPOSAL FROM KSZ CO INC","none",0,Neutral
42,"VR BUSINESS BROKERS EXPANDS OPERATIONS","none",0,Neutral
43,"CORRECTED - ATT &lt;T> FORMS COMPUTER SALES GROUPS","none",0,Neutral
44,"GREAT ATLANTIC AND PACIFIC TEA CO INC &lt;GAP> DIV","great(+)",1,Positive
45,"GARTNER GROUP &lt;GART> ACQUIRES COMTEC PROGRAM","none",0,Neutral
46,"U.S. CAR SALES DOWN 3.9 PCT IN MID-MARCH","none",0,Neutral
47,"RESORTS INT'L &lt;RT.A> RECEIVES TAKEOVER OFFER","none",0,Neutral
48,"CITICORP &lt;CCI> SEES DOUBLING IN RETAIL BANK NET","none",0,Neutral
49,"WD-40 CO &lt;WDFC> 2ND QTR FEB 28 NET","none",0,Neutral
50,"NASD TO BEGIN SEARCH FOR NEW PRESIDENT","none",0,Neutral
51,"BRAZIL COMPUTER MARKET TO REMAIN CLOSED-MINISTER","none",0,Neutral
52,"METALBANC IN OFFERING","none",0,Neutral
53,"NORTHERN INDIANA PUBLIC SVC &lt;NI> AGAIN OMITS DIV","none",0,Neutral
54,"FED'S JOHNSON SAYS DOLLAR STABILIZED AFTER FED TOOK APPROPRIATE ACTION","appropriate(+)",1,Positive
55,"FED CHAIRMAN VOLCKER SAYS BANK PROPOSALS A WORRY","worry(-)",-1,Negative
56,"BORMAN'S INC &lt;BRF> DECLARES QTLY DIVIDEND","none",0,Neutral
57,"INTERLEUKIN-2 &lt;ILTO> DETAILS WARRANT CONVERSION","none",0,Neutral
58,"U.S. CORN ACREAGE SEEN NEAR RECORD LOW","none",0,Neutral
59,"KIRSCHNER &lt;KMDC> COMPLETES PURCHASE","none",0,Neutral
